Date,Calib.Date,Time,Sample.ID,Treatment,Type,Temperature,pH.MV,Salinity,Period1,Notes
20180608,20180608,12:29,Tank1,A,Tank,26.67,NA,35,Test,
20180608,20180608,12:29,Tank2,A,Tank,26.42,NA,35,Test,
20180608,20180608,12:30,Tank3,H,Tank,30.23,NA,35,Test,
20180608,20180608,12:27,Tank4,H,Tank,29.02,NA,35,Test,
20180608,20180608,14:26,Tank1,A,Tank,26.99,NA,35,Test,
20180608,20180608,14:27,Tank2,A,Tank,26.74,NA,35,Test,
20180608,20180608,14:27,Tank3,H,Tank,29.23,NA,35,Test,
20180608,20180608,14:28,Tank4,H,Tank,29.02,NA,35,Test,
20180608,20180608,15:01,Tank1,A,Tank,27.06,NA,35,Test,
20180608,20180608,15:02,Tank2,A,Tank,26.85,NA,35,Test,
20180608,20180608,15:02,Tank3,H,Tank,29,NA,35,Test,
20180608,20180608,15:03,Tank4,H,Tank,29.03,NA,35,Test,
20180608,20180608,15:04,Bin1,A,Bin,27.1,NA,35,Test,
20180608,20180608,15:05,Bin2,A,Bin,26.86,NA,35,Test,
20180608,20180608,15:04,Bin3,H,Bin,28.97,NA,35,Test,
20180608,20180608,15:06,Bin4,H,Bin,28.99,NA,35,Test,
20180608,20180608,16:00,Tank1,A,Tank,27.25,NA,35,Test,
20180608,20180608,16:00,Tank2,A,Tank,27.01,NA,35,Test,
20180608,20180608,16:01,Tank3,H,Tank,29.79,NA,35,Test,
20180608,20180608,16:02,Tank4,H,Tank,28.98,NA,35,Test,
20180608,20180608,16:02,Bin1,A,Bin,27.28,NA,35,Test,
20180608,20180608,16:02,Bin2,A,Bin,27,NA,35,Test,
20180608,20180608,16:03,Bin3,H,Bin,29.75,NA,35,Test,
20180608,20180608,16:03,Bin4,H,Bin,29.01,NA,35,Test,
20180609,20180609,10:03,Tank1,A,Tank,26.33,NA,35,Test,
20180609,20180609,10:01,Tank2,A,Tank,26.17,NA,35,Test,
20180609,20180609,10:01,Tank3,H,Tank,29.6,NA,35,Test,
20180609,20180609,10:00,Tank4,H,Tank,29.04,NA,35,Test,
20180609,20180609,10:03,Bin1,A,Bin,26.37,NA,35,Test,
20180609,20180609,10:04,Bin2,A,Bin,26.26,NA,35,Test,
20180609,20180609,10:04,Bin3,H,Bin,29.41,NA,35,Test,
20180609,20180609,10:04,Bin4,H,Bin,28.83,NA,35,Test,
20180609,20180609,12:48,Tank1,A,Tank,26.78,-56.5,34.13,Test,
20180609,20180609,12:48,Tank2,A,Tank,26.74,-60.2,34.36,Test,
20180609,20180609,12:50,Tank3,H,Tank,29.18,-62.4,35.84,Test,
20180609,20180609,12:51,Tank4,H,Tank,29,-56.9,35.21,Test,
20180609,20180609,12:53,Bin1,A,Bin,26.6,-57.3,34.29,Test,
20180609,20180609,12:53,Bin2,A,Bin,26.67,-60.3,34.29,Test,
20180609,20180609,12:55,Bin3,H,Bin,29.12,-62.3,35.88,Test,
20180609,20180609,12:54,Bin4,H,Bin,28.98,-57,34.23,Test,
20180610,20180610,11:28,Tank1,A,Tank,26.17,-57.7,34.22,Test,
20180610,20180610,11:29,Tank2,A,Tank,25.88,-60.7,34.56,Test,
20180610,20180610,11:30,Tank3,H,Tank,29.43,-63.5,35.73,Test,
20180610,20180610,11:28,Tank4,H,Tank,28.92,-58.4,34.36,Test,
20180610,20180610,11:30,Bin1,A,Bin,26.13,-58.3,34.24,Test,
20180610,20180610,11:32:00,Bin2,A,Bin,25.85,-60.8,34.57,Test,
20180610,20180610,11:30,Bin3,H,Bin,29.35,-63.1,35.7,Test,
20180610,20180610,11:31,Bin4,H,Bin,28.86,-58,34.4,Test,
